કી,2513
રી,1509
ભી,2463
ઞૂ,2555
શિ,2534
ટો,2623
ઙૂ,2561
શૌ,2431
દ,1487
ઠા,2450
ઙૈ,2428
ટુ,2581
લા,2512
મૈ,1470
બિ,2554
ળ,2568
ષો,2520
ણૈ,2422
ચૂ,1457
તા,1566
હૈ,2452
૦,1457
ઞૈ,2530
કિ,2555
ઝી,2493
ઠૂ,2464
ઝુ,2490
ણા,2461
ખા,2502
ડા,1416
ચૈ,1500
યો,2452
ઢૂ,2527
ભિ,2514
તિ,1474
ખો,2475
હિ,2485
ફિ,2478
હો,2533
ટા,2504
ખિ,2537
ફ,2436
છૂ,2548
જૈ,2390
ઝિ,2424
પી,1466
સી,2516
ણૂ,2533
ઞિ,2388
સે,2489
લૌ,2502
ડૌ,1527
શા,2527
જુ,2455
ઢો,2469
ટૂ,2438
ટૌ,2431
વ,1464
છૈ,2488
જૂ,2457
ષિ,2491
દા,1487
બી,2527
ખે,2486
ડે,1488
ફૂ,2432
ણુ,2562
ઙૌ,2526
યી,2537
ટે,2408
હૂ,2554
બૈ,2446
લૈ,2500
ઞા,2458
વૈ,1523
ભે,2438
યિ,2419
કૂ,2555
ઘ,1475
ઋ,2495
દુ,1460
સો,2508
ળૈ,2523
ટૈ,2433
ભા,2531
છો,2512
સા,2376
હૌ,2447
સૌ,2480
લી,2492
મ,2414
ળૌ,2523
ફી,2604
યૈ,2566
ફૈ,2473
પૌ,1478
ષુ,2516
વા,1456
ઘૈ,1520
યૌ,2437
ફુ,2582
ઉ,2427
ઘિ,1436
બૂ,2455
ણો,2466
યૂ,2417
હુ,2456
ચુ,1506
શ,2450
ખૈ,2490
મૌ,1512
ગૂ,1443
શૂ,2469
તુ,1452
વી,1466
ઠિ,2459
ગૌ,1453
૨,1449
દૂ,1473
આ,2491
ત,1430
ઙુ,2480
ડિ,1416
ચિ,1478
ખૌ,2514
ઞ,2530
ઘૌ,1469
ટ,2479
કુ,2398
ળૂ,2515
ખી,2552
ટિ,2499
જિ,2483
ગો,1497
ભો,2449
વિ,1474
રૂ,1510
ઢૌ,2557
ઞે,2464
વૌ,1512
ણ,2504
ળો,2470
ષૈ,2438
ઙિ,2462
મી,1509
ઝે,2578
ભ,2385
ઘૂ,1541
ઝૈ,2533
પૈ,1503
થી,1500
બૌ,2453
સિ,2497
સ,2486
દી,1466
દૌ,1552
ધી,1420
ઓ,2508
ષા,2484
તે,1432
ઠી,2573
ઝો,2499
જૌ,2443
છિ,2487
યા,2426
ઢુ,2519
હ,2489
ચૌ,1438
ધૂ,1434
બ,2409
ઢી,2437
બો,2426
સૈ,2524
ઢ,2516
તૂ,1488
શી,2525
રુ,1525
શો,2401
ને,1472
હા,2441
કે,2421
છ,2459
લૂ,2404
ઝ,2588
ગૈ,1511
હે,2509
એ,2440
ગા,1533
ખુ,2444
ઞૌ,2492
મો,1450
ઞુ,2544
મિ,1458
ણિ,2514
છા,2431
શે,2461
ણે,2547
ઘો,1536
ડી,1506
૧,1413
ય,2387
છે,2513
ખ,2458
હી,2458
ણી,2390
ભુ,2450
નૌ,1572
ભૂ,2546
પૂ,1503
છૌ,2452
ષૌ,2436
ષ,2413
ચા,1462
તો,1481
લુ,2508
ફો,2432
ઙો,2488
ઈ,2556
કૌ,2503
ઢૈ,2396
બુ,2447
મુ,1524
ચ,1534
ઝૂ,2443
ગી,1510
યુ,2489
ઠો,2395
દૈ,1507
૫,1500
ફા,2492
દો,1423
ઞી,2488
મૂ,1452
પિ,1503
પે,1522
ઊ,2512
નિ,1496
ન,1483
ઙે,2412
સૂ,2572
ધિ,1446
ળુ,2463
થૌ,1502
ધે,1447
જી,2475
શૈ,2408
ધો,1484
લિ,2443
થે,1492
ઘે,1516
પો,1464
છી,2476
ઠૈ,2506
ફૌ,2418
ઠ,2478
ઔ,2459
ડો,1500
કૈ,2584
જા,2441
જ,2421
વુ,1475
Space,1862
દે,1476
ભૌ,2579
ષી,2442
ઘા,1503
જે,2506
તૌ,1513
ઝૌ,2440
રો,1432
ઙી,2413
તૈ,1579
થૂ,1543
ઙ,2381
કો,2579
લ,2442
ની,1528
ળા,2520
ઐ,2472
ડુ,1516
ઠે,2517
નો,1521
૬,1479
ઙા,2437
ળી,2466
ગે,1512
ગિ,1553
લો,2477
ક,2453
જો,2508
ણૌ,2492
પા,1526
૪,1437
ઇ,2442
પ,1497
રિ,1471
ધૈ,1498
રે,1470
ઠુ,2500
૩,1463
ઢા,2434
ષૂ,2489
ડ,1506
ખૂ,2484
કા,2427
થ,1500
થૈ,1417
બા,2470
ભૈ,2503
ઞો,2517
થુ,1463
છુ,2497
ષે,2508
ગ,1536
લે,2529
વૂ,1473
થા,1483
દિ,1470
ના,1459
ગુ,1457
ધુ,1477
સુ,2343
૮,1488
ચે,1500
યે,2550
ટી,2530
બે,2538
વો,1525
ધૌ,1551
રૈ,1433
ઢિ,2522
ળિ,2503
પુ,1494
ઘી,1465
શુ,2471
વે,1489
ળે,2465
નૂ,1503
થો,1489
ઢે,2455
ધા,1593
ઝા,2523
અ,2451
ચી,1475
૭,1464
ર,1456
ડૂ,1497
મે,1461
ડૈ,1451
નુ,1515
થિ,1477
ઠૌ,2529
૯,1413
ફે,2442
રૌ,1612
રા,1432
ઘુ,1511
તી,1479
ધ,1484
નૈ,1490
મા,1502
ચો,1488